cuenca|estacion|año|periodo|parametro|valor|val_eca1
CAPLINA|QToqu1|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|QToqu2|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|QArum1|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|RCapl1|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|RCapl2|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|RCapl3|2011|I|Aceites y Grasas|0.28|1.7
CAPLINA|RCapl4|2011|I|Aceites y Grasas|0.2|1.7
CAPLINA|QToqu1|2011|I|Amoniaco-N|0.03|1.5
CAPLINA|QToqu2|2011|I|Amoniaco-N|0.01|1.5
CAPLINA|QArum1|2011|I|Amoniaco-N|0.27|1.5
CAPLINA|RCapl1|2011|I|Amoniaco-N|0.02|1.5
CAPLINA|RCapl2|2011|I|Amoniaco-N|0.02|1.5
CAPLINA|RCapl3|2011|I|Amoniaco-N|0.01|1.5
CAPLINA|RCapl4|2011|I|Amoniaco-N|0.01|1.5
CAPLINA|QToqu1|2011|I|Cianuro WAD|0.002|NA
CAPLINA|QToqu2|2011|I|Cianuro WAD|0.002|NA
CAPLINA|QArum1|2011|I|Cianuro WAD|0.002|NA
CAPLINA|RCapl1|2011|I|Cianuro WAD|0.002|NA
CAPLINA|RCapl2|2011|I|Cianuro WAD|0.002|NA
CAPLINA|RCapl3|2011|I|Cianuro WAD|0.002|NA
CAPLINA|RCapl4|2011|I|Cianuro WAD|0.002|NA
CAPLINA|QToqu1|2011|I|Conductividad|118.9|1600
CAPLINA|QToqu2|2011|I|Conductividad|132.1|1600
CAPLINA|QArum1|2011|I|Conductividad|2660|1600
CAPLINA|RCapl1|2011|I|Conductividad|2440|1600
CAPLINA|RCapl2|2011|I|Conductividad|1354|1600
CAPLINA|RCapl3|2011|I|Conductividad|1351|1600
CAPLINA|RCapl4|2011|I|Conductividad|1351|1600
CAPLINA|QToqu1|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QToqu2|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QArum1|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|4.7|5
CAPLINA|RCapl1|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl2|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl3|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl4|2011|I|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QToqu1|2011|I|Demanda Química de Oxígeno (DQO)|3|20
CAPLINA|QToqu2|2011|I|Demanda Química de Oxígeno (DQO)|7.1|20
CAPLINA|QArum1|2011|I|Demanda Química de Oxígeno (DQO)|4.8|20
CAPLINA|RCapl1|2011|I|Demanda Química de Oxígeno (DQO)|2.1|20
CAPLINA|RCapl2|2011|I|Demanda Química de Oxígeno (DQO)|2|20
CAPLINA|RCapl3|2011|I|Demanda Química de Oxígeno (DQO)|5.9|20
CAPLINA|RCapl4|2011|I|Demanda Química de Oxígeno (DQO)|5|20
CAPLINA|QToqu1|2011|I|Fosfatos|0.2|NA
CAPLINA|QToqu2|2011|I|Fosfatos|0.316|NA
CAPLINA|QArum1|2011|I|Fosfatos|5.654|NA
CAPLINA|RCapl1|2011|I|Fosfatos|0.826|NA
CAPLINA|RCapl2|2011|I|Fosfatos|0.584|NA
CAPLINA|RCapl3|2011|I|Fosfatos|0.426|NA
CAPLINA|RCapl4|2011|I|Fosfatos|0.518|NA
CAPLINA|QToqu1|2011|I|Fósforo Total|0.09|0.15
CAPLINA|QToqu2|2011|I|Fósforo Total|0.2209|0.15
CAPLINA|QArum1|2011|I|Fósforo Total|0.987|0.15
CAPLINA|RCapl1|2011|I|Fósforo Total|0.2241|0.15
CAPLINA|RCapl2|2011|I|Fósforo Total|0.1992|0.15
CAPLINA|RCapl3|2011|I|Fósforo Total|0.1741|0.15
CAPLINA|RCapl4|2011|I|Fósforo Total|0.1174|0.15
CAPLINA|QToqu1|2011|I|Nitratos-N|0.4|NA
CAPLINA|QToqu2|2011|I|Nitratos-N|0.69|NA
CAPLINA|QArum1|2011|I|Nitratos-N|0.08|NA
CAPLINA|RCapl1|2011|I|Nitratos-N|0.06|NA
CAPLINA|RCapl2|2011|I|Nitratos-N|0.21|NA
CAPLINA|RCapl3|2011|I|Nitratos-N|0.21|NA
CAPLINA|RCapl4|2011|I|Nitratos-N|0.21|NA
CAPLINA|QToqu1|2011|I|Nitrógeno Total|0.46|NA
CAPLINA|QToqu2|2011|I|Nitrógeno Total|0.5|NA
CAPLINA|QArum1|2011|I|Nitrógeno Total|1.53|NA
CAPLINA|RCapl1|2011|I|Nitrógeno Total|1.23|NA
CAPLINA|RCapl2|2011|I|Nitrógeno Total|0.38|NA
CAPLINA|RCapl3|2011|I|Nitrógeno Total|0.43|NA
CAPLINA|RCapl4|2011|I|Nitrógeno Total|0.8|NA
CAPLINA|QToqu1|2011|I|Oxígeno Disuelto|7|5
CAPLINA|QToqu2|2011|I|Oxígeno Disuelto|8.01|5
CAPLINA|QArum1|2011|I|Oxígeno Disuelto|4.8|5
CAPLINA|RCapl1|2011|I|Oxígeno Disuelto|9.31|5
CAPLINA|RCapl2|2011|I|Oxígeno Disuelto|9.9|5
CAPLINA|RCapl3|2011|I|Oxígeno Disuelto|8.95|5
CAPLINA|RCapl4|2011|I|Oxígeno Disuelto|8.95|5
CAPLINA|QToqu1|2011|I|pH|8.4|NA
CAPLINA|QToqu2|2011|I|pH|8.2|NA
CAPLINA|QArum1|2011|I|pH|2|NA
CAPLINA|RCapl1|2011|I|pH|4.2|NA
CAPLINA|RCapl2|2011|I|pH|3.4|NA
CAPLINA|RCapl3|2011|I|pH|4.07|NA
CAPLINA|RCapl4|2011|I|pH|4.07|NA
CAPLINA|QToqu1|2011|I|Sulfuros|0.002|NA
CAPLINA|QToqu2|2011|I|Sulfuros|0.002|NA
CAPLINA|QArum1|2011|I|Sulfuros|0.002|NA
CAPLINA|RCapl1|2011|I|Sulfuros|0.002|NA
CAPLINA|RCapl2|2011|I|Sulfuros|0.002|NA
CAPLINA|RCapl3|2011|I|Sulfuros|0.002|NA
CAPLINA|RCapl4|2011|I|Sulfuros|0.002|NA
CAPLINA|QToqu1|2011|I|Temperatura|7.4|NA
CAPLINA|QToqu2|2011|I|Temperatura|10.2|NA
CAPLINA|QArum1|2011|I|Temperatura|35|NA
CAPLINA|RCapl1|2011|I|Temperatura|6.9|NA
CAPLINA|RCapl2|2011|I|Temperatura|10.6|NA
CAPLINA|RCapl3|2011|I|Temperatura|14.45|NA
CAPLINA|RCapl4|2011|I|Temperatura|14.45|NA
CAPLINA|QToqu1|2011|I|Aluminio|0.1649|5
CAPLINA|QToqu2|2011|I|Aluminio|0.9917|5
CAPLINA|QArum1|2011|I|Aluminio|130.78|5
CAPLINA|RCapl1|2011|I|Aluminio|16.7811|5
CAPLINA|RCapl2|2011|I|Aluminio|13.5503|5
CAPLINA|RCapl3|2011|I|Aluminio|16.8058|5
CAPLINA|RCapl4|2011|I|Aluminio|18.713|5
CAPLINA|QToqu1|2011|I|Antimonio|0.0014|0.02
CAPLINA|QToqu2|2011|I|Antimonio|0.0045|0.02
CAPLINA|QArum1|2011|I|Antimonio|2e-4|0.02
CAPLINA|RCapl1|2011|I|Antimonio|2e-4|0.02
CAPLINA|RCapl2|2011|I|Antimonio|2e-4|0.02
CAPLINA|RCapl3|2011|I|Antimonio|2e-4|0.02
CAPLINA|RCapl4|2011|I|Antimonio|4e-4|0.02
CAPLINA|QToqu1|2011|I|Arsénico|0.0448|0.01
CAPLINA|QToqu2|2011|I|Arsénico|0.043|0.01
CAPLINA|QArum1|2011|I|Arsénico|1.6573|0.01
CAPLINA|RCapl1|2011|I|Arsénico|0.2293|0.01
CAPLINA|RCapl2|2011|I|Arsénico|0.1404|0.01
CAPLINA|RCapl3|2011|I|Arsénico|0.077|0.01
CAPLINA|RCapl4|2011|I|Arsénico|0.0749|0.01
CAPLINA|QToqu1|2011|I|Bario|0.0237|1
CAPLINA|QToqu2|2011|I|Bario|0.0373|1
CAPLINA|QArum1|2011|I|Bario|0.02|1
CAPLINA|RCapl1|2011|I|Bario|0.014|1
CAPLINA|RCapl2|2011|I|Bario|0.0188|1
CAPLINA|RCapl3|2011|I|Bario|0.0212|1
CAPLINA|RCapl4|2011|I|Bario|0.0265|1
CAPLINA|QToqu1|2011|I|Berilio|6e-4|0.04
CAPLINA|QToqu2|2011|I|Berilio|6e-4|0.04
CAPLINA|QArum1|2011|I|Berilio|0.004|0.04
CAPLINA|RCapl1|2011|I|Berilio|6e-4|0.04
CAPLINA|RCapl2|2011|I|Berilio|6e-4|0.04
CAPLINA|RCapl3|2011|I|Berilio|9e-4|0.04
CAPLINA|RCapl4|2011|I|Berilio|8e-4|0.04
CAPLINA|QToqu1|2011|I|Bismuto|3e-4|NA
CAPLINA|QToqu2|2011|I|Bismuto|3e-4|NA
CAPLINA|QArum1|2011|I|Bismuto|0.003|NA
CAPLINA|RCapl1|2011|I|Bismuto|3e-4|NA
CAPLINA|RCapl2|2011|I|Bismuto|3e-4|NA
CAPLINA|RCapl3|2011|I|Bismuto|3e-4|NA
CAPLINA|RCapl4|2011|I|Bismuto|3e-4|NA
CAPLINA|QToqu1|2011|I|Boro|1.8065|2.4
CAPLINA|QToqu2|2011|I|Boro|1.3645|2.4
CAPLINA|QArum1|2011|I|Boro|8.3015|2.4
CAPLINA|RCapl1|2011|I|Boro|3.4194|2.4
CAPLINA|RCapl2|2011|I|Boro|2.5743|2.4
CAPLINA|RCapl3|2011|I|Boro|1.6474|2.4
CAPLINA|RCapl4|2011|I|Boro|2.5294|2.4
CAPLINA|QToqu1|2011|I|Cadmio|2e-4|0.005
CAPLINA|QToqu2|2011|I|Cadmio|2e-4|0.005
CAPLINA|QArum1|2011|I|Cadmio|0.0271|0.005
CAPLINA|RCapl1|2011|I|Cadmio|0.0032|0.005
CAPLINA|RCapl2|2011|I|Cadmio|0.0027|0.005
CAPLINA|RCapl3|2011|I|Cadmio|0.0015|0.005
CAPLINA|RCapl4|2011|I|Cadmio|0.0015|0.005
CAPLINA|QToqu1|2011|I|Calcio|167.0727|NA
CAPLINA|QToqu2|2011|I|Calcio|186.0391|NA
CAPLINA|QArum1|2011|I|Calcio|138.0122|NA
CAPLINA|RCapl1|2011|I|Calcio|84.3433|NA
CAPLINA|RCapl2|2011|I|Calcio|93.9|NA
CAPLINA|RCapl3|2011|I|Calcio|147.7037|NA
CAPLINA|RCapl4|2011|I|Calcio|149.2118|NA
CAPLINA|QToqu1|2011|I|Cerio|7e-4|NA
CAPLINA|QToqu2|2011|I|Cerio|0.0046|NA
CAPLINA|QArum1|2011|I|Cerio|0.043|NA
CAPLINA|RCapl1|2011|I|Cerio|0.007|NA
CAPLINA|RCapl2|2011|I|Cerio|0.0068|NA
CAPLINA|RCapl3|2011|I|Cerio|0.0071|NA
CAPLINA|RCapl4|2011|I|Cerio|0.0065|NA
CAPLINA|QToqu1|2011|I|Cobalto|0.0015|NA
CAPLINA|QToqu2|2011|I|Cobalto|0.0023|NA
CAPLINA|QArum1|2011|I|Cobalto|0.0025|NA
CAPLINA|RCapl1|2011|I|Cobalto|0.0024|NA
CAPLINA|RCapl2|2011|I|Cobalto|0.0024|NA
CAPLINA|RCapl3|2011|I|Cobalto|0.0117|NA
CAPLINA|RCapl4|2011|I|Cobalto|0.0127|NA
CAPLINA|QToqu1|2011|I|Cobre|0.0101|2
CAPLINA|QToqu2|2011|I|Cobre|0.022|2
CAPLINA|QArum1|2011|I|Cobre|0.0027|2
CAPLINA|RCapl1|2011|I|Cobre|0.0062|2
CAPLINA|RCapl2|2011|I|Cobre|0.0095|2
CAPLINA|RCapl3|2011|I|Cobre|0.01|2
CAPLINA|RCapl4|2011|I|Cobre|0.0113|2
CAPLINA|QToqu1|2011|I|Cromo Total|9e-4|0.05
CAPLINA|QToqu2|2011|I|Cromo Total|0.0017|0.05
CAPLINA|QArum1|2011|I|Cromo Total|0.0134|0.05
CAPLINA|RCapl1|2011|I|Cromo Total|0.0015|0.05
CAPLINA|RCapl2|2011|I|Cromo Total|0.0035|0.05
CAPLINA|RCapl3|2011|I|Cromo Total|0.0034|0.05
CAPLINA|RCapl4|2011|I|Cromo Total|0.0047|0.05
CAPLINA|QToqu1|2011|I|Estaño|4e-4|NA
CAPLINA|QToqu2|2011|I|Estaño|4e-4|NA
CAPLINA|QArum1|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl1|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl2|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl3|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl4|2011|I|Estaño|4e-4|NA
CAPLINA|QToqu1|2011|I|Estroncio|1.1456|NA
CAPLINA|QToqu2|2011|I|Estroncio|1.3369|NA
CAPLINA|QArum1|2011|I|Estroncio|0.3616|NA
CAPLINA|RCapl1|2011|I|Estroncio|0.4369|NA
CAPLINA|RCapl2|2011|I|Estroncio|0.483|NA
CAPLINA|RCapl3|2011|I|Estroncio|0.701|NA
CAPLINA|RCapl4|2011|I|Estroncio|0.6736|NA
CAPLINA|QToqu1|2011|I|Hierro|0.481|1
CAPLINA|QToqu2|2011|I|Hierro|2.0622|1
CAPLINA|QArum1|2011|I|Hierro|74.2877|1
CAPLINA|RCapl1|2011|I|Hierro|8.0337|1
CAPLINA|RCapl2|2011|I|Hierro|6.8963|1
CAPLINA|RCapl3|2011|I|Hierro|11.9677|1
CAPLINA|RCapl4|2011|I|Hierro|13.4209|1
CAPLINA|QToqu1|2011|I|Litio|0.0467|NA
CAPLINA|QToqu2|2011|I|Litio|0.0506|NA
CAPLINA|QArum1|2011|I|Litio|0.458|NA
CAPLINA|RCapl1|2011|I|Litio|0.2381|NA
CAPLINA|RCapl2|2011|I|Litio|0.2093|NA
CAPLINA|RCapl3|2011|I|Litio|0.1429|NA
CAPLINA|RCapl4|2011|I|Litio|0.1371|NA
CAPLINA|QToqu1|2011|I|Magnesio|35.5167|NA
CAPLINA|QToqu2|2011|I|Magnesio|41.378|NA
CAPLINA|QArum1|2011|I|Magnesio|64.2239|NA
CAPLINA|RCapl1|2011|I|Magnesio|25.32|NA
CAPLINA|RCapl2|2011|I|Magnesio|21.3739|NA
CAPLINA|RCapl3|2011|I|Magnesio|25.8855|NA
CAPLINA|RCapl4|2011|I|Magnesio|24.5612|NA
CAPLINA|QToqu1|2011|I|Manganeso|0.1937|0.4
CAPLINA|QToqu2|2011|I|Manganeso|0.21|0.4
CAPLINA|QArum1|2011|I|Manganeso|5.7943|0.4
CAPLINA|RCapl1|2011|I|Manganeso|0.8989|0.4
CAPLINA|RCapl2|2011|I|Manganeso|0.7871|0.4
CAPLINA|RCapl3|2011|I|Manganeso|0.8004|0.4
CAPLINA|RCapl4|2011|I|Manganeso|0.8352|0.4
CAPLINA|QToqu1|2011|I|Mercurio|1e-4|0.002
CAPLINA|QToqu2|2011|I|Mercurio|1e-4|0.002
CAPLINA|QArum1|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl1|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl2|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl3|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl4|2011|I|Mercurio|1e-4|0.002
CAPLINA|QToqu1|2011|I|Molibdeno|0.0063|NA
CAPLINA|QToqu2|2011|I|Molibdeno|0.0108|NA
CAPLINA|QArum1|2011|I|Molibdeno|2e-4|NA
CAPLINA|RCapl1|2011|I|Molibdeno|0.0014|NA
CAPLINA|RCapl2|2011|I|Molibdeno|0.0039|NA
CAPLINA|RCapl3|2011|I|Molibdeno|0.0024|NA
CAPLINA|RCapl4|2011|I|Molibdeno|0.0029|NA
CAPLINA|QToqu1|2011|I|Niquel|9e-4|NA
CAPLINA|QToqu2|2011|I|Niquel|0.0019|NA
CAPLINA|QArum1|2011|I|Niquel|0.0022|NA
CAPLINA|RCapl1|2011|I|Niquel|0.0026|NA
CAPLINA|RCapl2|2011|I|Niquel|0.0037|NA
CAPLINA|RCapl3|2011|I|Niquel|0.0161|NA
CAPLINA|RCapl4|2011|I|Niquel|0.0203|NA
CAPLINA|QToqu1|2011|I|Plata|2e-4|NA
CAPLINA|QToqu2|2011|I|Plata|5e-4|NA
CAPLINA|QArum1|2011|I|Plata|2e-4|NA
CAPLINA|RCapl1|2011|I|Plata|2e-4|NA
CAPLINA|RCapl2|2011|I|Plata|3e-4|NA
CAPLINA|RCapl3|2011|I|Plata|3e-4|NA
CAPLINA|RCapl4|2011|I|Plata|2e-4|NA
CAPLINA|QToqu1|2011|I|Plomo|5e-4|0.05
